start_ip,end_ip,asn,name,domain
15.32.104.0,15.32.105.255,AS25888,HP Inc.,hp.com
15.32.106.0,15.32.127.255,AS21326,AT&T Global Network Services Nederland B.V.,att.com
15.36.64.0,15.36.68.255,AS25888,HP Inc.,hp.com
15.36.69.0,15.36.71.255,AS21326,AT&T Global Network Services Nederland B.V.,att.com
15.36.72.0,15.36.87.255,AS25888,HP Inc.,hp.com
15.36.88.0,15.36.88.255,AS2687,AT&T Corp.,att.com
15.36.89.0,15.36.92.255,AS25888,HP Inc.,hp.com
15.36.93.0,15.36.93.255,AS2687,AT&T Corp.,att.com
15.36.94.0,15.36.97.255,AS25888,HP Inc.,hp.com
15.36.98.0,15.36.98.255,AS2687,AT&T Corp.,att.com
15.36.99.0,15.36.119.255,AS25888,HP Inc.,hp.com
15.36.120.0,15.36.125.255,AS21326,AT&T Global Network Services Nederland B.V.,att.com
15.36.126.0,15.36.127.255,AS2687,AT&T Corp.,att.com
15.40.80.0,15.40.81.255,AS25888,HP Inc.,hp.com
15.40.83.0,15.40.83.255,AS25888,HP Inc.,hp.com
15.44.64.0,15.44.66.255,AS25888,HP Inc.,hp.com
15.44.67.0,15.44.72.255,AS2687,AT&T Corp.,att.com
15.44.73.0,15.44.127.255,AS25888,HP Inc.,hp.com
15.44.168.0,15.44.168.255,AS2687,AT&T Corp.,att.com
15.65.192.0,15.65.207.255,AS33,HP Inc.,hp.com
15.72.24.0,15.72.24.255,AS54680,HP Inc.,hp.com
15.72.32.0,15.72.33.255,AS54680,HP Inc.,hp.com
15.72.64.0,15.72.127.255,AS54680,HP Inc.,hp.com
15.73.128.0,15.73.191.255,AS54680,HP Inc.,hp.com
15.79.88.0,15.79.91.255,AS25888,HP Inc.,hp.com
15.89.160.0,15.89.171.255,AS25888,HP Inc.,hp.com
15.90.164.0,15.90.167.255,AS2154,HP Inc.,hp.com
15.90.180.0,15.90.183.255,AS25888,HP Inc.,hp.com
15.92.161.0,15.92.162.255,AS2685,AT&T Corp.,att.com
15.92.164.0,15.92.167.255,AS2685,AT&T Corp.,att.com
15.92.197.0,15.92.199.255,AS2685,AT&T Corp.,att.com
15.98.64.0,15.98.127.255,AS13979,"AT&T Services, Inc.",att.com
15.100.10.0,15.100.11.255,AS3741,Dimension Data,is.co.za
15.116.152.0,15.116.155.255,AS33383,HP Inc.,hp.com
15.139.192.0,15.139.207.255,AS5073,HP Inc.,hp.com
15.139.209.0,15.139.209.255,AS17062,HP Inc.,hp.com
15.139.224.0,15.139.231.255,AS5073,HP Inc.,hp.com
15.139.248.0,15.139.255.255,AS5073,HP Inc.,hp.com
15.145.8.0,15.145.19.255,AS3209,Vodafone GmbH,vodafone.de
15.145.20.0,15.145.23.255,AS2856,British Telecommunications PLC,bt.com
15.151.36.0,15.151.37.255,AS17062,HP Inc.,hp.com
15.152.0.0,15.152.255.255,AS16509,"Amazon.com, Inc.",amazon.com
15.156.0.0,15.158.13.255,AS16509,"Amazon.com, Inc.",amazon.com
15.158.15.0,15.158.19.255,AS16509,"Amazon.com, Inc.",amazon.com
15.158.21.0,15.158.25.255,AS16509,"Amazon.com, Inc.",amazon.com
15.158.27.0,15.158.31.255,AS16509,"Amazon.com, Inc.",amazon.com
15.158.33.0,15.158.70.255,AS16509,"Amazon.com, Inc.",amazon.com
15.158.72.0,15.158.100.255,AS16509,"Amazon.com, Inc.",amazon.com
15.158.102.0,15.158.105.255,AS16509,"Amazon.com, Inc.",amazon.com
15.158.107.0,15.158.129.255,AS16509,"Amazon.com, Inc.",amazon.com
15.158.131.0,15.158.132.255,AS16509,"Amazon.com, Inc.",amazon.com
15.158.134.0,15.158.152.255,AS16509,"Amazon.com, Inc.",amazon.com
15.158.154.0,15.158.154.255,AS16509,"Amazon.com, Inc.",amazon.com
